field,fieldtype,from,fromString,to,toString,key,created,author,project
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-68,2019-04-29T13:07:40.202+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-68,2019-05-01T13:36:14.059+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-68,2019-05-10T07:32:43.477+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-68,2019-05-10T07:32:43.477+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-68,2019-05-10T07:32:43.477+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-68,2019-05-24T18:53:39.961+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-67,2019-03-18T13:12:55.858+0100,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-67,2019-03-18T13:13:11.142+0100,matthiasmueller,PAINTROID
assignee,jira,,,christophbinder,Christoph Binder,PAINTROID-67,2019-04-02T11:12:49.772+0200,christophbinder,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-67,2019-04-02T11:12:49.772+0200,christophbinder,PAINTROID
Developer,custom,,,christophbinder,Christoph Binder,PAINTROID-67,2019-04-02T11:12:49.772+0200,christophbinder,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-67,2019-04-29T13:19:53.135+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-67,2019-04-29T13:19:53.135+0200,christophbinder,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-67,2019-04-30T13:26:55.566+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,christophbinder,Christoph Binder,PAINTROID-67,2019-04-30T13:30:06.734+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-67,2019-04-30T13:30:06.734+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-67,2019-04-30T13:30:06.734+0200,thomasschwengler,PAINTROID
assignee,jira,christophbinder,Christoph Binder,,,PAINTROID-67,2019-04-30T17:47:50.401+0200,christophbinder,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-67,2019-04-30T17:47:50.401+0200,christophbinder,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-67,2019-05-02T09:40:09.436+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-67,2019-05-02T09:42:10.709+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-67,2019-05-02T09:42:10.709+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-67,2019-05-03T10:44:48.018+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-67,2019-05-09T15:12:38.747+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-67,2019-05-09T15:12:38.747+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-67,2019-05-09T15:12:38.747+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-67,2019-05-24T18:53:39.867+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-66,2019-03-18T13:12:54.227+0100,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-66,2019-03-18T13:13:08.335+0100,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-66,2019-04-03T12:02:37.659+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-66,2019-04-03T12:02:37.659+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-66,2019-04-03T12:02:37.659+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-66,2019-04-03T12:02:43.314+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-66,2019-04-03T12:02:43.314+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-66,2019-04-05T09:39:55.718+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-66,2019-04-05T09:39:56.766+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-66,2019-04-05T09:39:56.766+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-66,2019-04-05T09:39:56.766+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-66,2019-04-18T15:28:43.190+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-66,2019-04-18T15:32:07.497+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-66,2019-04-18T15:32:07.497+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-66,2019-04-18T15:32:07.497+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-66,2019-05-24T18:53:39.763+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-65,2019-03-18T13:12:52.668+0100,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-65,2019-03-18T13:13:04.411+0100,matthiasmueller,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-65,2019-03-27T23:19:53.678+0100,sebastiangrief,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-65,2019-03-27T23:19:53.678+0100,sebastiangrief,PAINTROID
Developer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-65,2019-03-27T23:19:53.678+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,thomasschwengler,Thomas Schwengler,PAINTROID-65,2019-05-03T09:32:28.336+0200,thomasschwengler,PAINTROID
summary,jira,,Color Chooser as Fullscreen,,Color Picker as Fullscreen,PAINTROID-65,2019-05-03T09:32:42.864+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,sebastiangrief,Sebastian Grief,PAINTROID-65,2019-05-03T09:47:11.857+0200,thomasschwengler,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-65,2019-05-16T13:15:24.673+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10007,Ready For Development,PAINTROID-65,2019-05-16T13:15:24.673+0200,sebastiangrief,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-65,2019-05-17T11:33:08.232+0200,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-65,2019-05-17T11:33:08.232+0200,thomasschwengler,PAINTROID
Developer,custom,sebastiangrief,Sebastian Grief,thomasschwengler,Thomas Schwengler,PAINTROID-65,2019-05-17T11:33:08.232+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-65,2019-06-04T14:07:27.800+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-65,2019-06-04T14:07:27.800+0200,thomasschwengler,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-65,2019-07-03T11:17:49.423+0200,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-65,2019-07-03T11:18:12.149+0200,sebastiangrief,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-65,2019-07-03T11:18:12.149+0200,sebastiangrief,PAINTROID
Code Reviewer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-65,2019-07-03T11:18:12.149+0200,sebastiangrief,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-65,2019-07-04T09:37:32.528+0200,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,thomasschwengler,Thomas Schwengler,PAINTROID-65,2019-07-04T09:39:30.062+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-65,2019-07-04T09:39:30.062+0200,matthiasmueller,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-65,2019-07-04T15:26:35.855+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-65,2019-07-04T15:26:35.855+0200,thomasschwengler,PAINTROID
description,jira,,"Currently the Color-Chooser is placed over the canvas/view, without any advantage of this behavior. Therefore, the structure should be changed to a own fragment, viewing the chooser in full-screen mode",,"Currently the Colorpicker is placed over the canvas/view, without any advantage of this behavior. Therefore, the structure should be changed to a own fragment, viewing the chooser in full-screen mode",PAINTROID-65,2019-07-05T13:53:41.578+0200,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-65,2019-07-05T14:02:12.370+0200,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-65,2019-07-05T14:03:38.539+0200,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-65,2019-07-05T14:03:38.539+0200,alexanderhiebl,PAINTROID
Code Reviewer,custom,sebastiangrief,Sebastian Grief,alexanderhiebl,Alexander Hiebl,PAINTROID-65,2019-07-05T14:03:38.539+0200,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-65,2019-07-08T11:47:35.402+0200,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,thomasschwengler,Thomas Schwengler,PAINTROID-65,2019-07-08T11:48:30.738+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-65,2019-07-08T11:48:30.738+0200,matthiasmueller,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-65,2019-07-08T14:05:33.691+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-65,2019-07-08T14:05:33.691+0200,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-65,2019-08-27T19:02:12.444+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-65,2019-08-27T19:07:39.386+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-65,2019-08-27T19:07:39.386+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,alexanderhiebl,Alexander Hiebl,tobiasstangl,Tobias Stangl,PAINTROID-65,2019-08-27T19:07:39.386+0200,tobiasstangl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-65,2019-10-03T10:01:07.066+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-65,2019-10-04T07:06:23.307+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-65,2019-10-04T07:06:23.307+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-65,2019-10-04T07:06:23.307+0200,matthiasmueller,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-64,2019-03-18T13:12:51.245+0100,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-64,2019-03-18T13:13:01.879+0100,matthiasmueller,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-64,2019-03-23T00:19:48.088+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-64,2019-03-23T00:19:48.088+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-64,2019-03-23T00:19:48.088+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-64,2019-03-24T14:00:36.742+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-64,2019-03-24T14:00:36.742+0100,thomasschwengler,PAINTROID
assignee,jira,,,alexanderhiebl,Alexander Hiebl,PAINTROID-64,2019-03-25T00:56:42.733+0100,alexanderhiebl,PAINTROID
assignee,jira,alexanderhiebl,Alexander Hiebl,,,PAINTROID-64,2019-03-25T00:56:44.949+0100,alexanderhiebl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-64,2019-03-25T00:56:44.949+0100,alexanderhiebl,PAINTROID
Code Reviewer,custom,,,alexanderhiebl,Alexander Hiebl,PAINTROID-64,2019-03-25T00:56:44.949+0100,alexanderhiebl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-64,2019-04-22T20:20:23.136+0200,matthiasmueller,PAINTROID
assignee,jira,matthiasmueller,Matthias Mueller,thomasschwengler,Thomas Schwengler,PAINTROID-64,2019-04-22T20:20:25.138+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-64,2019-04-22T20:20:25.138+0200,matthiasmueller,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-64,2019-04-24T19:20:06.787+0200,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-64,2019-04-24T19:20:06.787+0200,thomasschwengler,PAINTROID
summary,jira,,Color Chooser as Library,,Color Picker as Library,PAINTROID-64,2019-04-25T10:24:33.679+0200,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-64,2019-04-30T16:09:17.575+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-64,2019-04-30T16:09:20.206+0200,tobiasstangl,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-64,2019-04-30T16:09:20.206+0200,tobiasstangl,PAINTROID
Code Reviewer,custom,alexanderhiebl,Alexander Hiebl,tobiasstangl,Tobias Stangl,PAINTROID-64,2019-04-30T16:09:20.206+0200,tobiasstangl,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-64,2019-05-09T15:16:58.080+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-64,2019-05-09T15:18:57.002+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-64,2019-05-09T15:18:57.002+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-64,2019-05-09T15:18:57.002+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-64,2019-05-24T18:53:39.642+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-63,2019-03-18T13:12:49.130+0100,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-63,2019-03-18T13:12:59.153+0100,matthiasmueller,PAINTROID
assignee,jira,,,sebastiangrief,Sebastian Grief,PAINTROID-63,2019-03-25T13:06:43.280+0100,sebastiangrief,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-63,2019-03-25T13:06:43.280+0100,sebastiangrief,PAINTROID
Developer,custom,,,sebastiangrief,Sebastian Grief,PAINTROID-63,2019-03-25T13:06:43.280+0100,sebastiangrief,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-63,2019-03-26T12:45:06.655+0100,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-63,2019-03-26T12:45:06.655+0100,sebastiangrief,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-03-26T13:27:14.529+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-63,2019-03-26T13:27:15.598+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-63,2019-03-26T13:27:15.598+0100,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-03-26T13:27:15.598+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-03-26T13:27:48.223+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,sebastiangrief,Sebastian Grief,PAINTROID-63,2019-03-26T13:28:23.286+0100,thomasschwengler,PAINTROID
status,jira,10412,In PO Review,10221,In Development,PAINTROID-63,2019-03-26T13:28:23.286+0100,thomasschwengler,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-63,2019-03-27T23:16:48.791+0100,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-63,2019-03-27T23:16:48.791+0100,sebastiangrief,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-03-31T18:24:16.376+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,sebastiangrief,Sebastian Grief,PAINTROID-63,2019-04-01T11:03:34.378+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-63,2019-04-01T11:03:34.378+0200,thomasschwengler,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-63,2019-04-02T10:26:04.378+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-63,2019-04-02T10:26:04.378+0200,sebastiangrief,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-04-02T14:34:22.563+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,sebastiangrief,Sebastian Grief,PAINTROID-63,2019-04-02T14:48:43.250+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-63,2019-04-02T14:48:43.250+0200,thomasschwengler,PAINTROID
assignee,jira,sebastiangrief,Sebastian Grief,,,PAINTROID-63,2019-04-02T20:36:03.508+0200,sebastiangrief,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-63,2019-04-02T20:36:03.508+0200,sebastiangrief,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-63,2019-04-02T20:50:00.528+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-63,2019-04-02T20:50:01.936+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-63,2019-04-02T20:50:01.936+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-63,2019-04-19T11:50:42.080+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-63,2019-04-19T11:50:45.382+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-63,2019-04-19T11:50:45.382+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-63,2019-04-19T11:50:45.382+0200,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-63,2019-05-24T18:53:39.530+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-62,2019-08-23T12:00:36.740+0200,matthiasmueller,PAINTROID
Story Points,custom,,,,5,PAINTROID-62,2019-08-23T12:01:48.785+0200,matthiasmueller,PAINTROID
description,jira,,It's better option to add an outline to textviews. Text with a stroke is less attractive.,,Stroke texts as additional option of the text tool,PAINTROID-62,2019-08-23T12:01:48.785+0200,matthiasmueller,PAINTROID
Acceptance Criteria,custom,,,,-) Stroke Option for Text,PAINTROID-62,2019-08-23T12:01:48.785+0200,matthiasmueller,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-62,2019-08-23T12:01:51.028+0200,matthiasmueller,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-62,2019-09-16T10:05:00.728+0200,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-62,2019-09-16T10:05:00.728+0200,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-62,2019-09-16T10:05:00.728+0200,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-62,2019-09-16T15:09:23.287+0200,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-62,2019-09-16T15:09:23.287+0200,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-62,2019-09-19T13:51:14.808+0200,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-62,2019-09-19T13:51:16.981+0200,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-62,2019-09-19T13:51:16.981+0200,thomasschwengler,PAINTROID
Code Reviewer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-62,2019-09-19T13:51:16.981+0200,thomasschwengler,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-62,2019-09-26T11:36:35.237+0200,matthiasmueller,PAINTROID
resolution,jira,,,6,Done,PAINTROID-62,2019-09-26T11:54:13.232+0200,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-62,2019-09-26T11:54:13.232+0200,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-62,2019-09-26T11:54:13.232+0200,matthiasmueller,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-61,2019-03-08T10:47:56.710+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-61,2019-03-08T10:48:03.238+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-61,2019-03-08T10:48:05.893+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-61,2019-03-08T10:48:05.893+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-61,2019-03-08T10:48:05.893+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-61,2019-03-08T11:06:42.479+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-61,2019-03-08T11:06:42.479+0100,thomasschwengler,PAINTROID
assignee,jira,,,emanuelmoser,Emanuel Moser,PAINTROID-61,2019-03-08T12:16:09.270+0100,emanuelmoser,PAINTROID
assignee,jira,emanuelmoser,Emanuel Moser,,,PAINTROID-61,2019-03-08T12:16:12.111+0100,emanuelmoser,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-61,2019-03-08T12:16:12.111+0100,emanuelmoser,PAINTROID
Code Reviewer,custom,,,emanuelmoser,Emanuel Moser,PAINTROID-61,2019-03-08T12:16:12.111+0100,emanuelmoser,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-61,2019-03-08T12:19:19.425+0100,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-61,2019-03-08T12:19:24.234+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-61,2019-03-08T12:19:24.234+0100,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-61,2019-03-08T12:19:24.234+0100,matthiasmueller,PAINTROID
Fix Version,jira,,,13408,2.3.1,PAINTROID-61,2019-03-08T16:24:47.442+0100,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-60,2019-03-02T14:43:34.664+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-60,2019-03-02T14:43:36.196+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-60,2019-03-02T14:43:37.451+0100,thomasschwengler,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-60,2019-03-02T14:43:37.451+0100,thomasschwengler,PAINTROID
Developer,custom,,,thomasschwengler,Thomas Schwengler,PAINTROID-60,2019-03-02T14:43:37.451+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,,,PAINTROID-60,2019-03-02T15:23:56.048+0100,thomasschwengler,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-60,2019-03-02T15:23:56.048+0100,thomasschwengler,PAINTROID
assignee,jira,,,thomashirsch,Thomas Hirsch,PAINTROID-60,2019-03-11T10:45:59.036+0100,thomashirsch,PAINTROID
assignee,jira,thomashirsch,Thomas Hirsch,,,PAINTROID-60,2019-03-11T10:46:00.328+0100,thomashirsch,PAINTROID
status,jira,10112,In Code Review,10412,In PO Review,PAINTROID-60,2019-03-11T10:46:00.328+0100,thomashirsch,PAINTROID
Code Reviewer,custom,,,thomashirsch,Thomas Hirsch,PAINTROID-60,2019-03-11T10:46:00.328+0100,thomashirsch,PAINTROID
assignee,jira,,,matthiasmueller,Matthias Mueller,PAINTROID-60,2019-03-18T13:51:27.630+0100,matthiasmueller,PAINTROID
resolution,jira,,,1,Fixed,PAINTROID-60,2019-03-18T13:54:33.799+0100,matthiasmueller,PAINTROID
status,jira,10412,In PO Review,6,Merged,PAINTROID-60,2019-03-18T13:54:33.799+0100,matthiasmueller,PAINTROID
Code Merger,custom,,,matthiasmueller,Matthias Mueller,PAINTROID-60,2019-03-18T13:54:33.799+0100,matthiasmueller,PAINTROID
Fix Version,jira,,,13506,2.4.0,PAINTROID-60,2019-05-24T18:53:39.223+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10612,Bug Backlog,PAINTROID-59,2019-03-01T18:51:02.833+0100,thomasschwengler,PAINTROID
status,jira,10612,Bug Backlog,10007,Ready For Development,PAINTROID-59,2019-03-01T18:51:04.101+0100,thomasschwengler,PAINTROID
assignee,jira,,,tobiasstangl,Tobias Stangl,PAINTROID-59,2019-03-13T10:25:37.545+0100,tobiasstangl,PAINTROID
status,jira,10007,Ready For Development,10221,In Development,PAINTROID-59,2019-03-13T10:25:37.545+0100,tobiasstangl,PAINTROID
Developer,custom,,,tobiasstangl,Tobias Stangl,PAINTROID-59,2019-03-13T10:25:37.545+0100,tobiasstangl,PAINTROID
assignee,jira,tobiasstangl,Tobias Stangl,,,PAINTROID-59,2019-03-13T11:07:20.646+0100,tobiasstangl,PAINTROID
status,jira,10221,In Development,10112,In Code Review,PAINTROID-59,2019-03-13T11:07:20.646+0100,tobiasstangl,PAINTROID
assignee,jira,,,thomasschwengler,Thomas Schwengler,PAINTROID-59,2019-03-13T13:12:41.102+0100,thomasschwengler,PAINTROID
assignee,jira,thomasschwengler,Thomas Schwengler,tobiasstangl,Tobias Stangl,PAINTROID-59,2019-03-13T13:12:42.693+0100,thomasschwengler,PAINTROID
status,jira,10112,In Code Review,10221,In Development,PAINTROID-59,2019-03-13T13:12:42.693+0100,thomasschwengler,PAINTROID
