Feature 1,Feature 2,Label
close transform tool options clicking apply,air canvas,different
save temporary copies automatically,air canvas,different
paste tool,air canvas,different
save load pocketpaint format,air canvas,different
save load pocketpaint format,air canvas,different
hide unhide layer,air canvas,different
share feature,air canvas,different
feedback menu entry overflow menu,air canvas,different
spray tool,air canvas,different
insert image catrobat media gallery,air canvas,different
auto crop icon,air canvas,different
hint change default settings tools,air canvas,different
checkmark confirm tool applications,air canvas,different
copy paste symbols stamp tool selection application,air canvas,different
save dialog,air canvas,different
better compression research implementation,air canvas,different
export,air canvas,different
confirm tool application selecting tool,air canvas,different
center button transform tool,air canvas,different
fastlane support huawei store,air canvas,different
github crowdin integration,air canvas,different
build paintroid pull requests catroid develop jenkins,air canvas,different
reuse drawingsurface pipette activity,air canvas,different
image file size editing,air canvas,different
upload mapping jenkins release builds,air canvas,different
correct user intended position tools,air canvas,different
dynamic color scheme,air canvas,different
close transform tool options clicking apply,alpha transparencies,different
save temporary copies automatically,alpha transparencies,different
paste tool,alpha transparencies,different
save load pocketpaint format,alpha transparencies,different
save load pocketpaint format,alpha transparencies,different
hide unhide layer,alpha transparencies,different
share feature,alpha transparencies,different
feedback menu entry overflow menu,alpha transparencies,different
spray tool,alpha transparencies,different
insert image catrobat media gallery,alpha transparencies,different
auto crop icon,alpha transparencies,different
hint change default settings tools,alpha transparencies,different
checkmark confirm tool applications,alpha transparencies,different
copy paste symbols stamp tool selection application,alpha transparencies,different
save dialog,alpha transparencies,different
better compression research implementation,alpha transparencies,different
export,alpha transparencies,different
confirm tool application selecting tool,alpha transparencies,different
center button transform tool,alpha transparencies,different
fastlane support huawei store,alpha transparencies,different
github crowdin integration,alpha transparencies,different
build paintroid pull requests catroid develop jenkins,alpha transparencies,different
reuse drawingsurface pipette activity,alpha transparencies,different
image file size editing,alpha transparencies,different
upload mapping jenkins release builds,alpha transparencies,different
correct user intended position tools,alpha transparencies,different
dynamic color scheme,alpha transparencies,different
close transform tool options clicking apply,android developers,different
save temporary copies automatically,android developers,different
paste tool,android developers,different
save load pocketpaint format,android developers,different
save load pocketpaint format,android developers,different
hide unhide layer,android developers,different
share feature,android developers,different
feedback menu entry overflow menu,android developers,different
spray tool,android developers,different
insert image catrobat media gallery,android developers,different
auto crop icon,android developers,different
hint change default settings tools,android developers,different
checkmark confirm tool applications,android developers,different
copy paste symbols stamp tool selection application,android developers,different
save dialog,android developers,different
better compression research implementation,android developers,different
export,android developers,different
confirm tool application selecting tool,android developers,different
center button transform tool,android developers,different
fastlane support huawei store,android developers,different
github crowdin integration,android developers,different
build paintroid pull requests catroid develop jenkins,android developers,different
reuse drawingsurface pipette activity,android developers,different
image file size editing,android developers,different
upload mapping jenkins release builds,android developers,different
correct user intended position tools,android developers,different
dynamic color scheme,android developers,different
close transform tool options clicking apply,applying a color,different
save temporary copies automatically,applying a color,different
paste tool,applying a color,different
save load pocketpaint format,applying a color,different
save load pocketpaint format,applying a color,different
hide unhide layer,applying a color,different
share feature,applying a color,different
feedback menu entry overflow menu,applying a color,different
spray tool,applying a color,different
insert image catrobat media gallery,applying a color,different
auto crop icon,applying a color,different
hint change default settings tools,applying a color,different
checkmark confirm tool applications,applying a color,different
copy paste symbols stamp tool selection application,applying a color,different
save dialog,applying a color,different
better compression research implementation,applying a color,different
export,applying a color,different
confirm tool application selecting tool,applying a color,different
center button transform tool,applying a color,different
fastlane support huawei store,applying a color,different
github crowdin integration,applying a color,different
build paintroid pull requests catroid develop jenkins,applying a color,different
reuse drawingsurface pipette activity,applying a color,different
image file size editing,applying a color,different
upload mapping jenkins release builds,applying a color,different
correct user intended position tools,applying a color,different
close transform tool options clicking apply,applying transparency,different
save temporary copies automatically,applying transparency,different
paste tool,applying transparency,different
save load pocketpaint format,applying transparency,different
save load pocketpaint format,applying transparency,different
hide unhide layer,applying transparency,different
share feature,applying transparency,different
feedback menu entry overflow menu,applying transparency,different
spray tool,applying transparency,different
insert image catrobat media gallery,applying transparency,different
auto crop icon,applying transparency,different
hint change default settings tools,applying transparency,different
checkmark confirm tool applications,applying transparency,different
copy paste symbols stamp tool selection application,applying transparency,different
save dialog,applying transparency,different
better compression research implementation,applying transparency,different
export,applying transparency,different
confirm tool application selecting tool,applying transparency,different
center button transform tool,applying transparency,different
fastlane support huawei store,applying transparency,different
github crowdin integration,applying transparency,different
build paintroid pull requests catroid develop jenkins,applying transparency,different
reuse drawingsurface pipette activity,applying transparency,different
image file size editing,applying transparency,different
upload mapping jenkins release builds,applying transparency,different
correct user intended position tools,applying transparency,different
close transform tool options clicking apply,auto zoom kills,different
save temporary copies automatically,auto zoom kills,different
paste tool,auto zoom kills,different
save load pocketpaint format,auto zoom kills,different
save load pocketpaint format,auto zoom kills,different
hide unhide layer,auto zoom kills,different
share feature,auto zoom kills,different
feedback menu entry overflow menu,auto zoom kills,different
spray tool,auto zoom kills,different
insert image catrobat media gallery,auto zoom kills,different
auto crop icon,auto zoom kills,different
hint change default settings tools,auto zoom kills,different
checkmark confirm tool applications,auto zoom kills,different
copy paste symbols stamp tool selection application,auto zoom kills,different
save dialog,auto zoom kills,different
better compression research implementation,auto zoom kills,different
export,auto zoom kills,different
confirm tool application selecting tool,auto zoom kills,different
center button transform tool,auto zoom kills,different
fastlane support huawei store,auto zoom kills,different
github crowdin integration,auto zoom kills,different
build paintroid pull requests catroid develop jenkins,auto zoom kills,different
reuse drawingsurface pipette activity,auto zoom kills,different
image file size editing,auto zoom kills,different
upload mapping jenkins release builds,auto zoom kills,different
correct user intended position tools,auto zoom kills,different
dynamic color scheme,auto zoom kills,different
close transform tool options clicking apply,available font,different
save temporary copies automatically,available font,different
paste tool,available font,different
save load pocketpaint format,available font,different
save load pocketpaint format,available font,different
hide unhide layer,available font,different
share feature,available font,different
feedback menu entry overflow menu,available font,different
spray tool,available font,different
insert image catrobat media gallery,available font,different
auto crop icon,available font,different
hint change default settings tools,available font,different
checkmark confirm tool applications,available font,different
copy paste symbols stamp tool selection application,available font,different
save dialog,available font,different
better compression research implementation,available font,different
export,available font,different
confirm tool application selecting tool,available font,different
center button transform tool,available font,different
fastlane support huawei store,available font,different
github crowdin integration,available font,different
build paintroid pull requests catroid develop jenkins,available font,different
reuse drawingsurface pipette activity,available font,different
image file size editing,available font,different
upload mapping jenkins release builds,available font,different
correct user intended position tools,available font,different
dynamic color scheme,available font,different
close transform tool options clicking apply,basic animation package,different
save temporary copies automatically,basic animation package,different
paste tool,basic animation package,different
save load pocketpaint format,basic animation package,different
save load pocketpaint format,basic animation package,different
hide unhide layer,basic animation package,different
share feature,basic animation package,different
feedback menu entry overflow menu,basic animation package,different
spray tool,basic animation package,different
insert image catrobat media gallery,basic animation package,different
auto crop icon,basic animation package,different
hint change default settings tools,basic animation package,different
checkmark confirm tool applications,basic animation package,different
copy paste symbols stamp tool selection application,basic animation package,different
save dialog,basic animation package,different
better compression research implementation,basic animation package,different
export,basic animation package,different
confirm tool application selecting tool,basic animation package,different
center button transform tool,basic animation package,different
fastlane support huawei store,basic animation package,different
github crowdin integration,basic animation package,different
build paintroid pull requests catroid develop jenkins,basic animation package,different
reuse drawingsurface pipette activity,basic animation package,different
image file size editing,basic animation package,different
upload mapping jenkins release builds,basic animation package,different
correct user intended position tools,basic animation package,different
dynamic color scheme,basic animation package,different
close transform tool options clicking apply,basic components,different
save temporary copies automatically,basic components,different
paste tool,basic components,different
save load pocketpaint format,basic components,different
save load pocketpaint format,basic components,different
hide unhide layer,basic components,different
share feature,basic components,different
feedback menu entry overflow menu,basic components,different
spray tool,basic components,different
insert image catrobat media gallery,basic components,different
auto crop icon,basic components,different
hint change default settings tools,basic components,different
checkmark confirm tool applications,basic components,different
copy paste symbols stamp tool selection application,basic components,different
save dialog,basic components,different
better compression research implementation,basic components,different
export,basic components,different
confirm tool application selecting tool,basic components,different
center button transform tool,basic components,different
fastlane support huawei store,basic components,different
github crowdin integration,basic components,different
build paintroid pull requests catroid develop jenkins,basic components,different
reuse drawingsurface pipette activity,basic components,different
image file size editing,basic components,different
upload mapping jenkins release builds,basic components,different
correct user intended position tools,basic components,different
dynamic color scheme,basic components,different
close transform tool options clicking apply,blur tool,different
save temporary copies automatically,blur tool,different
paste tool,blur tool,different
save load pocketpaint format,blur tool,different
save load pocketpaint format,blur tool,different
hide unhide layer,blur tool,different
share feature,blur tool,different
feedback menu entry overflow menu,blur tool,different
spray tool,blur tool,different
insert image catrobat media gallery,blur tool,different
auto crop icon,blur tool,different
hint change default settings tools,blur tool,different
checkmark confirm tool applications,blur tool,different
copy paste symbols stamp tool selection application,blur tool,different
save dialog,blur tool,different
better compression research implementation,blur tool,different
export,blur tool,different
confirm tool application selecting tool,blur tool,different
center button transform tool,blur tool,different
fastlane support huawei store,blur tool,different
github crowdin integration,blur tool,different
build paintroid pull requests catroid develop jenkins,blur tool,different
reuse drawingsurface pipette activity,blur tool,different
image file size editing,blur tool,different
upload mapping jenkins release builds,blur tool,different
correct user intended position tools,blur tool,different
dynamic color scheme,blur tool,different
close transform tool options clicking apply,brush canvas,different
save temporary copies automatically,brush canvas,different
paste tool,brush canvas,different
save load pocketpaint format,brush canvas,different
save load pocketpaint format,brush canvas,different
hide unhide layer,brush canvas,different
share feature,brush canvas,different
feedback menu entry overflow menu,brush canvas,different
spray tool,brush canvas,different
insert image catrobat media gallery,brush canvas,different
auto crop icon,brush canvas,different
hint change default settings tools,brush canvas,different
checkmark confirm tool applications,brush canvas,different
copy paste symbols stamp tool selection application,brush canvas,different
save dialog,brush canvas,different
better compression research implementation,brush canvas,different
export,brush canvas,different
confirm tool application selecting tool,brush canvas,different
center button transform tool,brush canvas,different
fastlane support huawei store,brush canvas,different
github crowdin integration,brush canvas,different
build paintroid pull requests catroid develop jenkins,brush canvas,different
reuse drawingsurface pipette activity,brush canvas,different
image file size editing,brush canvas,different
upload mapping jenkins release builds,brush canvas,different
correct user intended position tools,brush canvas,different
dynamic color scheme,brush canvas,different
close transform tool options clicking apply,change canvas size,different
save temporary copies automatically,change canvas size,different
paste tool,change canvas size,different
save load pocketpaint format,change canvas size,different
save load pocketpaint format,change canvas size,different
hide unhide layer,change canvas size,different
share feature,change canvas size,different
feedback menu entry overflow menu,change canvas size,different
spray tool,change canvas size,different
insert image catrobat media gallery,change canvas size,different
auto crop icon,change canvas size,different
hint change default settings tools,change canvas size,different
checkmark confirm tool applications,change canvas size,different
copy paste symbols stamp tool selection application,change canvas size,different
save dialog,change canvas size,different
better compression research implementation,change canvas size,different
export,change canvas size,different
confirm tool application selecting tool,change canvas size,different
center button transform tool,change canvas size,different
fastlane support huawei store,change canvas size,different
github crowdin integration,change canvas size,different
build paintroid pull requests catroid develop jenkins,change canvas size,different
reuse drawingsurface pipette activity,change canvas size,different
image file size editing,change canvas size,different
upload mapping jenkins release builds,change canvas size,different
correct user intended position tools,change canvas size,different
dynamic color scheme,change canvas size,different
close transform tool options clicking apply,change width,different
save temporary copies automatically,change width,different
paste tool,change width,different
save load pocketpaint format,change width,different
save load pocketpaint format,change width,different
hide unhide layer,change width,different
share feature,change width,different
feedback menu entry overflow menu,change width,different
spray tool,change width,different
insert image catrobat media gallery,change width,different
auto crop icon,change width,different
hint change default settings tools,change width,different
checkmark confirm tool applications,change width,different
copy paste symbols stamp tool selection application,change width,different
save dialog,change width,different
better compression research implementation,change width,different
export,change width,different
confirm tool application selecting tool,change width,different
center button transform tool,change width,different
fastlane support huawei store,change width,different
github crowdin integration,change width,different
build paintroid pull requests catroid develop jenkins,change width,different
reuse drawingsurface pipette activity,change width,different
image file size editing,change width,different
upload mapping jenkins release builds,change width,different
correct user intended position tools,change width,different
dynamic color scheme,change width,different
close transform tool options clicking apply,changed language,different
save temporary copies automatically,changed language,different
paste tool,changed language,different
save load pocketpaint format,changed language,different
save load pocketpaint format,changed language,different
hide unhide layer,changed language,different
share feature,changed language,different
feedback menu entry overflow menu,changed language,different
spray tool,changed language,different
insert image catrobat media gallery,changed language,different
auto crop icon,changed language,different
hint change default settings tools,changed language,different
checkmark confirm tool applications,changed language,different
copy paste symbols stamp tool selection application,changed language,different
save dialog,changed language,different
better compression research implementation,changed language,different
export,changed language,different
confirm tool application selecting tool,changed language,different
center button transform tool,changed language,different
fastlane support huawei store,changed language,different
github crowdin integration,changed language,different
build paintroid pull requests catroid develop jenkins,changed language,different
reuse drawingsurface pipette activity,changed language,different
image file size editing,changed language,different
upload mapping jenkins release builds,changed language,different
correct user intended position tools,changed language,different
dynamic color scheme,changed language,different
close transform tool options clicking apply,changing cartoon characters,different
save temporary copies automatically,changing cartoon characters,different
paste tool,changing cartoon characters,different
save load pocketpaint format,changing cartoon characters,different
save load pocketpaint format,changing cartoon characters,different
hide unhide layer,changing cartoon characters,different
share feature,changing cartoon characters,different
feedback menu entry overflow menu,changing cartoon characters,different
spray tool,changing cartoon characters,different
insert image catrobat media gallery,changing cartoon characters,different
auto crop icon,changing cartoon characters,different
hint change default settings tools,changing cartoon characters,different
checkmark confirm tool applications,changing cartoon characters,different
copy paste symbols stamp tool selection application,changing cartoon characters,different
save dialog,changing cartoon characters,different
better compression research implementation,changing cartoon characters,different
export,changing cartoon characters,different
confirm tool application selecting tool,changing cartoon characters,different
center button transform tool,changing cartoon characters,different
fastlane support huawei store,changing cartoon characters,different
github crowdin integration,changing cartoon characters,different
build paintroid pull requests catroid develop jenkins,changing cartoon characters,different
reuse drawingsurface pipette activity,changing cartoon characters,different
image file size editing,changing cartoon characters,different
upload mapping jenkins release builds,changing cartoon characters,different
correct user intended position tools,changing cartoon characters,different
dynamic color scheme,changing cartoon characters,different
close transform tool options clicking apply,chat thing,different
save temporary copies automatically,chat thing,different
paste tool,chat thing,different
save load pocketpaint format,chat thing,different
save load pocketpaint format,chat thing,different
hide unhide layer,chat thing,different
share feature,chat thing,different
feedback menu entry overflow menu,chat thing,different
spray tool,chat thing,different
insert image catrobat media gallery,chat thing,different
auto crop icon,chat thing,different
hint change default settings tools,chat thing,different
checkmark confirm tool applications,chat thing,different
copy paste symbols stamp tool selection application,chat thing,different
save dialog,chat thing,different
better compression research implementation,chat thing,different
export,chat thing,different
confirm tool application selecting tool,chat thing,different
center button transform tool,chat thing,different
fastlane support huawei store,chat thing,different
github crowdin integration,chat thing,different
build paintroid pull requests catroid develop jenkins,chat thing,different
reuse drawingsurface pipette activity,chat thing,different
image file size editing,chat thing,different
upload mapping jenkins release builds,chat thing,different
correct user intended position tools,chat thing,different
dynamic color scheme,chat thing,different
close transform tool options clicking apply,circle draw,different
save temporary copies automatically,circle draw,different
paste tool,circle draw,different
save load pocketpaint format,circle draw,different
save load pocketpaint format,circle draw,different
hide unhide layer,circle draw,different
share feature,circle draw,different
feedback menu entry overflow menu,circle draw,different
spray tool,circle draw,different
insert image catrobat media gallery,circle draw,different
auto crop icon,circle draw,different
hint change default settings tools,circle draw,different
checkmark confirm tool applications,circle draw,different
copy paste symbols stamp tool selection application,circle draw,different
save dialog,circle draw,different
better compression research implementation,circle draw,different
export,circle draw,different
confirm tool application selecting tool,circle draw,different
center button transform tool,circle draw,different
fastlane support huawei store,circle draw,different
github crowdin integration,circle draw,different
build paintroid pull requests catroid develop jenkins,circle draw,different
reuse drawingsurface pipette activity,circle draw,different
image file size editing,circle draw,different
upload mapping jenkins release builds,circle draw,different
correct user intended position tools,circle draw,different
dynamic color scheme,circle draw,different
close transform tool options clicking apply,circle tools,different
save temporary copies automatically,circle tools,different
paste tool,circle tools,different
save load pocketpaint format,circle tools,different
save load pocketpaint format,circle tools,different
hide unhide layer,circle tools,different
share feature,circle tools,different
feedback menu entry overflow menu,circle tools,different
spray tool,circle tools,different
insert image catrobat media gallery,circle tools,different
auto crop icon,circle tools,different
hint change default settings tools,circle tools,different
checkmark confirm tool applications,circle tools,different
copy paste symbols stamp tool selection application,circle tools,different
save dialog,circle tools,different
better compression research implementation,circle tools,different
export,circle tools,different
confirm tool application selecting tool,circle tools,different
center button transform tool,circle tools,different
fastlane support huawei store,circle tools,different
github crowdin integration,circle tools,different
build paintroid pull requests catroid develop jenkins,circle tools,different
reuse drawingsurface pipette activity,circle tools,different
image file size editing,circle tools,different
upload mapping jenkins release builds,circle tools,different
correct user intended position tools,circle tools,different
dynamic color scheme,circle tools,different
close transform tool options clicking apply,clone tool,different
save temporary copies automatically,clone tool,different
paste tool,clone tool,different
save load pocketpaint format,clone tool,different
save load pocketpaint format,clone tool,different
hide unhide layer,clone tool,different
share feature,clone tool,different
feedback menu entry overflow menu,clone tool,different
spray tool,clone tool,different
insert image catrobat media gallery,clone tool,different
auto crop icon,clone tool,different
hint change default settings tools,clone tool,different
checkmark confirm tool applications,clone tool,different
copy paste symbols stamp tool selection application,clone tool,different
save dialog,clone tool,different
better compression research implementation,clone tool,different
export,clone tool,different
confirm tool application selecting tool,clone tool,different
center button transform tool,clone tool,different
fastlane support huawei store,clone tool,different
github crowdin integration,clone tool,different
build paintroid pull requests catroid develop jenkins,clone tool,different
reuse drawingsurface pipette activity,clone tool,different
image file size editing,clone tool,different
upload mapping jenkins release builds,clone tool,different
correct user intended position tools,clone tool,different
dynamic color scheme,clone tool,different
close transform tool options clicking apply,code games,different
save temporary copies automatically,code games,different
paste tool,code games,different
save load pocketpaint format,code games,different
save load pocketpaint format,code games,different
hide unhide layer,code games,different
share feature,code games,different
feedback menu entry overflow menu,code games,different
spray tool,code games,different
insert image catrobat media gallery,code games,different
auto crop icon,code games,different
hint change default settings tools,code games,different
checkmark confirm tool applications,code games,different
copy paste symbols stamp tool selection application,code games,different
save dialog,code games,different
better compression research implementation,code games,different
export,code games,different
confirm tool application selecting tool,code games,different
center button transform tool,code games,different
fastlane support huawei store,code games,different
github crowdin integration,code games,different
build paintroid pull requests catroid develop jenkins,code games,different
reuse drawingsurface pipette activity,code games,different
image file size editing,code games,different
upload mapping jenkins release builds,code games,different
correct user intended position tools,code games,different
dynamic color scheme,code games,different
close transform tool options clicking apply,code to games,different
save temporary copies automatically,code to games,different
paste tool,code to games,different
save load pocketpaint format,code to games,different
save load pocketpaint format,code to games,different
hide unhide layer,code to games,different
share feature,code to games,different
feedback menu entry overflow menu,code to games,different
spray tool,code to games,different
insert image catrobat media gallery,code to games,different
auto crop icon,code to games,different
hint change default settings tools,code to games,different
checkmark confirm tool applications,code to games,different
copy paste symbols stamp tool selection application,code to games,different
save dialog,code to games,different
better compression research implementation,code to games,different
export,code to games,different
confirm tool application selecting tool,code to games,different
center button transform tool,code to games,different
fastlane support huawei store,code to games,different
github crowdin integration,code to games,different
build paintroid pull requests catroid develop jenkins,code to games,different
reuse drawingsurface pipette activity,code to games,different
image file size editing,code to games,different
upload mapping jenkins release builds,code to games,different
correct user intended position tools,code to games,different
dynamic color scheme,code to games,different
close transform tool options clicking apply,color drawings,different
save temporary copies automatically,color drawings,different
paste tool,color drawings,different
save load pocketpaint format,color drawings,different
save load pocketpaint format,color drawings,different
hide unhide layer,color drawings,different
share feature,color drawings,different
feedback menu entry overflow menu,color drawings,different
spray tool,color drawings,different
insert image catrobat media gallery,color drawings,different
auto crop icon,color drawings,different
hint change default settings tools,color drawings,different
checkmark confirm tool applications,color drawings,different
copy paste symbols stamp tool selection application,color drawings,different
save dialog,color drawings,different
better compression research implementation,color drawings,different
export,color drawings,different
confirm tool application selecting tool,color drawings,different
center button transform tool,color drawings,different
fastlane support huawei store,color drawings,different
github crowdin integration,color drawings,different
build paintroid pull requests catroid develop jenkins,color drawings,different
reuse drawingsurface pipette activity,color drawings,different
image file size editing,color drawings,different
upload mapping jenkins release builds,color drawings,different
correct user intended position tools,color drawings,different
dynamic color scheme,color drawings,different
close transform tool options clicking apply,color fill tool,different
save temporary copies automatically,color fill tool,different
paste tool,color fill tool,different
save load pocketpaint format,color fill tool,different
save load pocketpaint format,color fill tool,different
hide unhide layer,color fill tool,different
share feature,color fill tool,different
feedback menu entry overflow menu,color fill tool,different
spray tool,color fill tool,different
