,Feature 1,Feature 2,Label,Jaccard Similarity,Predicted Label
4221,correct user intended position tools,resize tool,different,0.166666667,different
4332,save load pocketpaint format,save your favourite,different,0.166666667,different
4500,hint change default settings tools,selection tool,different,0.166666667,different
4512,correct user intended position tools,selection tool,different,0.166666667,different
4764,hint change default settings tools,spray tool,different,0.166666667,different
4778,correct user intended position tools,spray tool,different,0.166666667,different
4951,insert image catrobat media gallery,text insert,different,0.166666667,different
5236,correct user intended position tools,user interface,different,0.166666667,different
5357,hint change default settings tools,zoom tool,different,0.166666667,different
5371,correct user intended position tools,zoom tool,different,0.166666667,different
128,hint change default settings tools,add pen tool,different,0.142857143,different
142,correct user intended position tools,add pen tool,different,0.142857143,different
465,close transform tool options clicking apply,blur tool,different,0.142857143,different
530,hint change default settings tools,change canvas size,different,0.142857143,different
681,close transform tool options clicking apply,circle tools,different,0.142857143,different
708,close transform tool options clicking apply,clone tool,different,0.142857143,different
827,hint change default settings tools,color fill tool,different,0.142857143,different
841,correct user intended position tools,color fill tool,different,0.142857143,different
1185,close transform tool options clicking apply,curve tool,different,0.142857143,different
1413,checkmark confirm tool applications,drawing tool for kids,different,0.142857143,different
1418,confirm tool application selecting tool,drawing tool for kids,different,0.142857143,different
1419,center button transform tool,drawing tool for kids,different,0.142857143,different
1532,image file size editing,edit photos of gacha,different,0.142857143,different
1707,hint change default settings tools,fill tool fills,different,0.142857143,different
1721,correct user intended position tools,fill tool fills,different,0.142857143,different
1723,close transform tool options clicking apply,fill tools,different,0.142857143,different
2597,hint change default settings tools,liked line tool,different,0.142857143,different
2611,correct user intended position tools,liked line tool,different,0.142857143,different
2640,close transform tool options clicking apply,line tools,different,0.142857143,different
2945,hint change default settings tools,main issue tools,different,0.142857143,different
2959,correct user intended position tools,main issue tools,different,0.142857143,different
3015,close transform tool options clicking apply,many tools,different,0.142857143,different
3159,insert image catrobat media gallery,missing text insert,different,0.142857143,different
3429,insert image catrobat media gallery,new image option,different,0.142857143,different
4196,close transform tool options clicking apply,resize tool,different,0.142857143,different
4489,close transform tool options clicking apply,selection tool,different,0.142857143,different
4603,insert image catrobat media gallery,shrinks image size,different,0.142857143,different
4754,close transform tool options clicking apply,spray tool,different,0.142857143,different
5346,close transform tool options clicking apply,zoom tool,different,0.142857143,different
2,copy paste symbols stamp tool selection application,copy paste,similar,0.125,different
117,close transform tool options clicking apply,add pen tool,different,0.125,different
299,build paintroid pull requests catroid develop jenkins,android developers,different,0.125,different
478,copy paste symbols stamp tool selection application,blur tool,different,0.125,different
694,copy paste symbols stamp tool selection application,circle tools,different,0.125,different
721,copy paste symbols stamp tool selection application,clone tool,different,0.125,different
816,close transform tool options clicking apply,color fill tool,different,0.125,different
1198,copy paste symbols stamp tool selection application,curve tool,different,0.125,different
1412,hint change default settings tools,drawing tool for kids,different,0.125,different
1426,correct user intended position tools,drawing tool for kids,different,0.125,different
1696,close transform tool options clicking apply,fill tool fills,different,0.125,different
1736,copy paste symbols stamp tool selection application,fill tools,different,0.125,different
2586,close transform tool options clicking apply,liked line tool,different,0.125,different
2653,copy paste symbols stamp tool selection application,line tools,different,0.125,different
2934,close transform tool options clicking apply,main issue tools,different,0.125,different
3028,copy paste symbols stamp tool selection application,many tools,different,0.125,different
3726,copy paste symbols stamp tool selection application,paste images,different,0.125,different
4022,copy paste symbols stamp tool selection application,rectangle stamp,different,0.125,different
4209,copy paste symbols stamp tool selection application,resize tool,different,0.125,different
4766,copy paste symbols stamp tool selection application,spray tool,different,0.125,different
5359,copy paste symbols stamp tool selection application,zoom tool,different,0.125,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.111111111,different
130,copy paste symbols stamp tool selection application,add pen tool,different,0.111111111,different
829,copy paste symbols stamp tool selection application,color fill tool,different,0.111111111,different
1401,close transform tool options clicking apply,drawing tool for kids,different,0.111111111,different
1709,copy paste symbols stamp tool selection application,fill tool fills,different,0.111111111,different
2599,copy paste symbols stamp tool selection application,liked line tool,different,0.111111111,different
2947,copy paste symbols stamp tool selection application,main issue tools,different,0.111111111,different
1414,copy paste symbols stamp tool selection application,drawing tool for kids,different,0.1,different
0,dynamic color scheme,colour shades,similar,0,different
1,paste tool,copy paste,similar,0,different
3,image file size editing,editing large images,similar,0,different
6,correct user intended position tools,original position,similar,0,different
9,image file size editing,resize picture,similar,0,different
10,image file size editing,resizing entire image,similar,0,different
15,confirm tool application selecting tool,simple area selection,similar,0,different
24,image file size editing,resize pictures,similar,0,different
29,dynamic color scheme,add more colour,different,0,different
32,dynamic color scheme,colour picker,different,0,different
33,dynamic color scheme,add transparency,different,0,different
35,dynamic color scheme,applying transparency,different,0,different
36,dynamic color scheme,pictures with transparency,different,0,different
37,close transform tool options clicking apply,add a blur,different,0,different
38,save temporary copies automatically,add a blur,different,0,different
39,paste tool,add a blur,different,0,different
40,save load pocketpaint format,add a blur,different,0,different
41,save load pocketpaint format,add a blur,different,0,different
42,hide unhide layer,add a blur,different,0,different
43,share feature,add a blur,different,0,different
44,feedback menu entry overflow menu,add a blur,different,0,different
45,spray tool,add a blur,different,0,different
46,insert image catrobat media gallery,add a blur,different,0,different
47,auto crop icon,add a blur,different,0,different
48,hint change default settings tools,add a blur,different,0,different
49,checkmark confirm tool applications,add a blur,different,0,different
50,copy paste symbols stamp tool selection application,add a blur,different,0,different
51,save dialog,add a blur,different,0,different
52,better compression research implementation,add a blur,different,0,different
53,export,add a blur,different,0,different
54,confirm tool application selecting tool,add a blur,different,0,different
55,center button transform tool,add a blur,different,0,different
56,fastlane support huawei store,add a blur,different,0,different
57,github crowdin integration,add a blur,different,0,different
58,build paintroid pull requests catroid develop jenkins,add a blur,different,0,different
59,reuse drawingsurface pipette activity,add a blur,different,0,different
60,image file size editing,add a blur,different,0,different
61,upload mapping jenkins release builds,add a blur,different,0,different
62,correct user intended position tools,add a blur,different,0,different
63,dynamic color scheme,add a blur,different,0,different
64,close transform tool options clicking apply,add graph,different,0,different
65,save temporary copies automatically,add graph,different,0,different
66,paste tool,add graph,different,0,different
67,save load pocketpaint format,add graph,different,0,different
68,save load pocketpaint format,add graph,different,0,different
69,hide unhide layer,add graph,different,0,different
70,share feature,add graph,different,0,different
71,feedback menu entry overflow menu,add graph,different,0,different
72,spray tool,add graph,different,0,different
73,insert image catrobat media gallery,add graph,different,0,different
74,auto crop icon,add graph,different,0,different
75,hint change default settings tools,add graph,different,0,different
76,checkmark confirm tool applications,add graph,different,0,different
77,copy paste symbols stamp tool selection application,add graph,different,0,different
78,save dialog,add graph,different,0,different
79,better compression research implementation,add graph,different,0,different
80,export,add graph,different,0,different
81,confirm tool application selecting tool,add graph,different,0,different
82,center button transform tool,add graph,different,0,different
83,fastlane support huawei store,add graph,different,0,different
84,github crowdin integration,add graph,different,0,different
85,build paintroid pull requests catroid develop jenkins,add graph,different,0,different
86,reuse drawingsurface pipette activity,add graph,different,0,different
87,image file size editing,add graph,different,0,different
88,upload mapping jenkins release builds,add graph,different,0,different
89,correct user intended position tools,add graph,different,0,different
90,dynamic color scheme,add graph,different,0,different
91,close transform tool options clicking apply,add more colour,different,0,different
92,save temporary copies automatically,add more colour,different,0,different
93,paste tool,add more colour,different,0,different
94,save load pocketpaint format,add more colour,different,0,different
95,save load pocketpaint format,add more colour,different,0,different
96,hide unhide layer,add more colour,different,0,different
97,share feature,add more colour,different,0,different
98,feedback menu entry overflow menu,add more colour,different,0,different
99,spray tool,add more colour,different,0,different
100,insert image catrobat media gallery,add more colour,different,0,different
101,auto crop icon,add more colour,different,0,different
102,hint change default settings tools,add more colour,different,0,different
103,checkmark confirm tool applications,add more colour,different,0,different
104,copy paste symbols stamp tool selection application,add more colour,different,0,different
105,save dialog,add more colour,different,0,different
106,better compression research implementation,add more colour,different,0,different
107,export,add more colour,different,0,different
108,confirm tool application selecting tool,add more colour,different,0,different
109,center button transform tool,add more colour,different,0,different
110,fastlane support huawei store,add more colour,different,0,different
111,github crowdin integration,add more colour,different,0,different
112,build paintroid pull requests catroid develop jenkins,add more colour,different,0,different
113,reuse drawingsurface pipette activity,add more colour,different,0,different
114,image file size editing,add more colour,different,0,different
115,upload mapping jenkins release builds,add more colour,different,0,different
116,correct user intended position tools,add more colour,different,0,different
118,save temporary copies automatically,add pen tool,different,0,different
120,save load pocketpaint format,add pen tool,different,0,different
121,save load pocketpaint format,add pen tool,different,0,different
122,hide unhide layer,add pen tool,different,0,different
123,share feature,add pen tool,different,0,different
124,feedback menu entry overflow menu,add pen tool,different,0,different
126,insert image catrobat media gallery,add pen tool,different,0,different
127,auto crop icon,add pen tool,different,0,different
131,save dialog,add pen tool,different,0,different
132,better compression research implementation,add pen tool,different,0,different
133,export,add pen tool,different,0,different
136,fastlane support huawei store,add pen tool,different,0,different
137,github crowdin integration,add pen tool,different,0,different
138,build paintroid pull requests catroid develop jenkins,add pen tool,different,0,different
139,reuse drawingsurface pipette activity,add pen tool,different,0,different
140,image file size editing,add pen tool,different,0,different
141,upload mapping jenkins release builds,add pen tool,different,0,different
143,dynamic color scheme,add pen tool,different,0,different
144,close transform tool options clicking apply,add transparency,different,0,different
145,save temporary copies automatically,add transparency,different,0,different
146,paste tool,add transparency,different,0,different
147,save load pocketpaint format,add transparency,different,0,different
148,save load pocketpaint format,add transparency,different,0,different
149,hide unhide layer,add transparency,different,0,different
150,share feature,add transparency,different,0,different
151,feedback menu entry overflow menu,add transparency,different,0,different
152,spray tool,add transparency,different,0,different
153,insert image catrobat media gallery,add transparency,different,0,different
154,auto crop icon,add transparency,different,0,different
155,hint change default settings tools,add transparency,different,0,different
156,checkmark confirm tool applications,add transparency,different,0,different
157,copy paste symbols stamp tool selection application,add transparency,different,0,different
158,save dialog,add transparency,different,0,different
159,better compression research implementation,add transparency,different,0,different
160,export,add transparency,different,0,different
161,confirm tool application selecting tool,add transparency,different,0,different
162,center button transform tool,add transparency,different,0,different
163,fastlane support huawei store,add transparency,different,0,different
164,github crowdin integration,add transparency,different,0,different
165,build paintroid pull requests catroid develop jenkins,add transparency,different,0,different
166,reuse drawingsurface pipette activity,add transparency,different,0,different
167,image file size editing,add transparency,different,0,different
168,upload mapping jenkins release builds,add transparency,different,0,different
169,correct user intended position tools,add transparency,different,0,different
170,close transform tool options clicking apply,adding text,different,0,different
171,save temporary copies automatically,adding text,different,0,different
172,paste tool,adding text,different,0,different
173,save load pocketpaint format,adding text,different,0,different
174,save load pocketpaint format,adding text,different,0,different
175,hide unhide layer,adding text,different,0,different
176,share feature,adding text,different,0,different
177,feedback menu entry overflow menu,adding text,different,0,different
178,spray tool,adding text,different,0,different
179,insert image catrobat media gallery,adding text,different,0,different
180,auto crop icon,adding text,different,0,different
181,hint change default settings tools,adding text,different,0,different
182,checkmark confirm tool applications,adding text,different,0,different
183,copy paste symbols stamp tool selection application,adding text,different,0,different
184,save dialog,adding text,different,0,different
185,better compression research implementation,adding text,different,0,different
186,export,adding text,different,0,different
187,confirm tool application selecting tool,adding text,different,0,different
188,center button transform tool,adding text,different,0,different
189,fastlane support huawei store,adding text,different,0,different
190,github crowdin integration,adding text,different,0,different
191,build paintroid pull requests catroid develop jenkins,adding text,different,0,different
192,reuse drawingsurface pipette activity,adding text,different,0,different
193,image file size editing,adding text,different,0,different
194,upload mapping jenkins release builds,adding text,different,0,different
195,correct user intended position tools,adding text,different,0,different
196,dynamic color scheme,adding text,different,0,different
197,close transform tool options clicking apply,air brush,different,0,different
198,save temporary copies automatically,air brush,different,0,different
199,paste tool,air brush,different,0,different
200,save load pocketpaint format,air brush,different,0,different
201,save load pocketpaint format,air brush,different,0,different
202,hide unhide layer,air brush,different,0,different
203,share feature,air brush,different,0,different
204,feedback menu entry overflow menu,air brush,different,0,different
205,spray tool,air brush,different,0,different
206,insert image catrobat media gallery,air brush,different,0,different
207,auto crop icon,air brush,different,0,different
208,hint change default settings tools,air brush,different,0,different
209,checkmark confirm tool applications,air brush,different,0,different
210,copy paste symbols stamp tool selection application,air brush,different,0,different
211,save dialog,air brush,different,0,different
212,better compression research implementation,air brush,different,0,different
213,export,air brush,different,0,different
214,confirm tool application selecting tool,air brush,different,0,different
215,center button transform tool,air brush,different,0,different
216,fastlane support huawei store,air brush,different,0,different
217,github crowdin integration,air brush,different,0,different
218,build paintroid pull requests catroid develop jenkins,air brush,different,0,different
219,reuse drawingsurface pipette activity,air brush,different,0,different
220,image file size editing,air brush,different,0,different
221,upload mapping jenkins release builds,air brush,different,0,different
222,correct user intended position tools,air brush,different,0,different
223,dynamic color scheme,air brush,different,0,different
224,close transform tool options clicking apply,air canvas,different,0,different
225,save temporary copies automatically,air canvas,different,0,different
226,paste tool,air canvas,different,0,different
227,save load pocketpaint format,air canvas,different,0,different
228,save load pocketpaint format,air canvas,different,0,different
229,hide unhide layer,air canvas,different,0,different
230,share feature,air canvas,different,0,different
231,feedback menu entry overflow menu,air canvas,different,0,different
232,spray tool,air canvas,different,0,different
233,insert image catrobat media gallery,air canvas,different,0,different
234,auto crop icon,air canvas,different,0,different
235,hint change default settings tools,air canvas,different,0,different
236,checkmark confirm tool applications,air canvas,different,0,different
237,copy paste symbols stamp tool selection application,air canvas,different,0,different
238,save dialog,air canvas,different,0,different
239,better compression research implementation,air canvas,different,0,different
240,export,air canvas,different,0,different
241,confirm tool application selecting tool,air canvas,different,0,different
242,center button transform tool,air canvas,different,0,different
243,fastlane support huawei store,air canvas,different,0,different
244,github crowdin integration,air canvas,different,0,different
245,build paintroid pull requests catroid develop jenkins,air canvas,different,0,different
246,reuse drawingsurface pipette activity,air canvas,different,0,different
247,image file size editing,air canvas,different,0,different
248,upload mapping jenkins release builds,air canvas,different,0,different
249,correct user intended position tools,air canvas,different,0,different
250,dynamic color scheme,air canvas,different,0,different
251,close transform tool options clicking apply,alpha transparencies,different,0,different
252,save temporary copies automatically,alpha transparencies,different,0,different
253,paste tool,alpha transparencies,different,0,different
254,save load pocketpaint format,alpha transparencies,different,0,different
255,save load pocketpaint format,alpha transparencies,different,0,different
256,hide unhide layer,alpha transparencies,different,0,different
257,share feature,alpha transparencies,different,0,different
258,feedback menu entry overflow menu,alpha transparencies,different,0,different
259,spray tool,alpha transparencies,different,0,different
260,insert image catrobat media gallery,alpha transparencies,different,0,different
261,auto crop icon,alpha transparencies,different,0,different
262,hint change default settings tools,alpha transparencies,different,0,different
263,checkmark confirm tool applications,alpha transparencies,different,0,different
264,copy paste symbols stamp tool selection application,alpha transparencies,different,0,different
265,save dialog,alpha transparencies,different,0,different
266,better compression research implementation,alpha transparencies,different,0,different
267,export,alpha transparencies,different,0,different
268,confirm tool application selecting tool,alpha transparencies,different,0,different
269,center button transform tool,alpha transparencies,different,0,different
270,fastlane support huawei store,alpha transparencies,different,0,different
271,github crowdin integration,alpha transparencies,different,0,different
272,build paintroid pull requests catroid develop jenkins,alpha transparencies,different,0,different
273,reuse drawingsurface pipette activity,alpha transparencies,different,0,different
274,image file size editing,alpha transparencies,different,0,different
275,upload mapping jenkins release builds,alpha transparencies,different,0,different
276,correct user intended position tools,alpha transparencies,different,0,different
277,dynamic color scheme,alpha transparencies,different,0,different
278,close transform tool options clicking apply,android developers,different,0,different
279,save temporary copies automatically,android developers,different,0,different
280,paste tool,android developers,different,0,different
281,save load pocketpaint format,android developers,different,0,different
282,save load pocketpaint format,android developers,different,0,different
283,hide unhide layer,android developers,different,0,different
284,share feature,android developers,different,0,different
285,feedback menu entry overflow menu,android developers,different,0,different
286,spray tool,android developers,different,0,different
287,insert image catrobat media gallery,android developers,different,0,different
288,auto crop icon,android developers,different,0,different
289,hint change default settings tools,android developers,different,0,different
290,checkmark confirm tool applications,android developers,different,0,different
291,copy paste symbols stamp tool selection application,android developers,different,0,different
292,save dialog,android developers,different,0,different
293,better compression research implementation,android developers,different,0,different
294,export,android developers,different,0,different
295,confirm tool application selecting tool,android developers,different,0,different
296,center button transform tool,android developers,different,0,different
297,fastlane support huawei store,android developers,different,0,different
298,github crowdin integration,android developers,different,0,different
300,reuse drawingsurface pipette activity,android developers,different,0,different
301,image file size editing,android developers,different,0,different
302,upload mapping jenkins release builds,android developers,different,0,different
303,correct user intended position tools,android developers,different,0,different
304,dynamic color scheme,android developers,different,0,different
305,close transform tool options clicking apply,applying a color,different,0,different
306,save temporary copies automatically,applying a color,different,0,different
307,paste tool,applying a color,different,0,different
308,save load pocketpaint format,applying a color,different,0,different
309,save load pocketpaint format,applying a color,different,0,different
310,hide unhide layer,applying a color,different,0,different
311,share feature,applying a color,different,0,different
312,feedback menu entry overflow menu,applying a color,different,0,different
313,spray tool,applying a color,different,0,different
314,insert image catrobat media gallery,applying a color,different,0,different
315,auto crop icon,applying a color,different,0,different
316,hint change default settings tools,applying a color,different,0,different
317,checkmark confirm tool applications,applying a color,different,0,different
318,copy paste symbols stamp tool selection application,applying a color,different,0,different
319,save dialog,applying a color,different,0,different
320,better compression research implementation,applying a color,different,0,different
321,export,applying a color,different,0,different
322,confirm tool application selecting tool,applying a color,different,0,different
323,center button transform tool,applying a color,different,0,different
324,fastlane support huawei store,applying a color,different,0,different
325,github crowdin integration,applying a color,different,0,different
326,build paintroid pull requests catroid develop jenkins,applying a color,different,0,different
327,reuse drawingsurface pipette activity,applying a color,different,0,different
328,image file size editing,applying a color,different,0,different
329,upload mapping jenkins release builds,applying a color,different,0,different
330,correct user intended position tools,applying a color,different,0,different
331,close transform tool options clicking apply,applying transparency,different,0,different
332,save temporary copies automatically,applying transparency,different,0,different
333,paste tool,applying transparency,different,0,different
334,save load pocketpaint format,applying transparency,different,0,different
335,save load pocketpaint format,applying transparency,different,0,different
336,hide unhide layer,applying transparency,different,0,different
337,share feature,applying transparency,different,0,different
338,feedback menu entry overflow menu,applying transparency,different,0,different
339,spray tool,applying transparency,different,0,different
340,insert image catrobat media gallery,applying transparency,different,0,different
341,auto crop icon,applying transparency,different,0,different
342,hint change default settings tools,applying transparency,different,0,different
343,checkmark confirm tool applications,applying transparency,different,0,different
344,copy paste symbols stamp tool selection application,applying transparency,different,0,different
345,save dialog,applying transparency,different,0,different
346,better compression research implementation,applying transparency,different,0,different
347,export,applying transparency,different,0,different
348,confirm tool application selecting tool,applying transparency,different,0,different
349,center button transform tool,applying transparency,different,0,different
350,fastlane support huawei store,applying transparency,different,0,different
351,github crowdin integration,applying transparency,different,0,different
352,build paintroid pull requests catroid develop jenkins,applying transparency,different,0,different
353,reuse drawingsurface pipette activity,applying transparency,different,0,different
354,image file size editing,applying transparency,different,0,different
355,upload mapping jenkins release builds,applying transparency,different,0,different
356,correct user intended position tools,applying transparency,different,0,different
357,close transform tool options clicking apply,auto zoom kills,different,0,different
358,save temporary copies automatically,auto zoom kills,different,0,different
359,paste tool,auto zoom kills,different,0,different
360,save load pocketpaint format,auto zoom kills,different,0,different
361,save load pocketpaint format,auto zoom kills,different,0,different
362,hide unhide layer,auto zoom kills,different,0,different
363,share feature,auto zoom kills,different,0,different
364,feedback menu entry overflow menu,auto zoom kills,different,0,different
365,spray tool,auto zoom kills,different,0,different
366,insert image catrobat media gallery,auto zoom kills,different,0,different
368,hint change default settings tools,auto zoom kills,different,0,different
369,checkmark confirm tool applications,auto zoom kills,different,0,different
370,copy paste symbols stamp tool selection application,auto zoom kills,different,0,different
371,save dialog,auto zoom kills,different,0,different
372,better compression research implementation,auto zoom kills,different,0,different
373,export,auto zoom kills,different,0,different
374,confirm tool application selecting tool,auto zoom kills,different,0,different
375,center button transform tool,auto zoom kills,different,0,different
376,fastlane support huawei store,auto zoom kills,different,0,different
377,github crowdin integration,auto zoom kills,different,0,different
378,build paintroid pull requests catroid develop jenkins,auto zoom kills,different,0,different
379,reuse drawingsurface pipette activity,auto zoom kills,different,0,different
380,image file size editing,auto zoom kills,different,0,different
381,upload mapping jenkins release builds,auto zoom kills,different,0,different
382,correct user intended position tools,auto zoom kills,different,0,different
383,dynamic color scheme,auto zoom kills,different,0,different
384,close transform tool options clicking apply,available font,different,0,different
385,save temporary copies automatically,available font,different,0,different
386,paste tool,available font,different,0,different
387,save load pocketpaint format,available font,different,0,different
388,save load pocketpaint format,available font,different,0,different
389,hide unhide layer,available font,different,0,different
390,share feature,available font,different,0,different
391,feedback menu entry overflow menu,available font,different,0,different
392,spray tool,available font,different,0,different
393,insert image catrobat media gallery,available font,different,0,different
394,auto crop icon,available font,different,0,different
395,hint change default settings tools,available font,different,0,different
396,checkmark confirm tool applications,available font,different,0,different
397,copy paste symbols stamp tool selection application,available font,different,0,different
398,save dialog,available font,different,0,different
399,better compression research implementation,available font,different,0,different
400,export,available font,different,0,different
401,confirm tool application selecting tool,available font,different,0,different
402,center button transform tool,available font,different,0,different
403,fastlane support huawei store,available font,different,0,different
404,github crowdin integration,available font,different,0,different
405,build paintroid pull requests catroid develop jenkins,available font,different,0,different
406,reuse drawingsurface pipette activity,available font,different,0,different
407,image file size editing,available font,different,0,different
408,upload mapping jenkins release builds,available font,different,0,different
409,correct user intended position tools,available font,different,0,different
410,dynamic color scheme,available font,different,0,different
411,close transform tool options clicking apply,basic animation package,different,0,different
412,save temporary copies automatically,basic animation package,different,0,different
413,paste tool,basic animation package,different,0,different
